,year,Week,Day,Date,,,,OT,Rec,,Opp
14,2015,15,Sun,December 20,4:06PM ET,boxscore,W,,9-5,,Cleveland Browns
15,2015,16,Sun,December 27,4:26PM ET,boxscore,L,,9-6,,St. Louis Rams
16,2015,17,Sun,January 3,4:25PM ET,boxscore,W,,10-6,@,Arizona Cardinals
17,2015,,,Playoffs,,,,,,,
18,2015,Wild Card,Sun,January 10,1:05PM ET,boxscore,W,,11-6,@,Minnesota Vikings
19,2015,Division,Sun,January 17,1:06PM ET,boxscore,L,,11-7,@,Carolina Panthers
0,2016,1,Sun,September 11,4:08PM ET,boxscore,W,,1-0,,Miami Dolphins
1,2016,2,Sun,September 18,4:08PM ET,boxscore,L,,1-1,@,Los Angeles Rams
2,2016,3,Sun,September 25,4:05PM ET,boxscore,W,,2-1,,San Francisco 49ers
3,2016,4,Sun,October 2,1:03PM ET,boxscore,W,,3-1,@,New York Jets
4,2016,5,,,,,,,,,Bye Week
5,2016,6,Sun,October 16,4:26PM ET,boxscore,W,,4-1,,Atlanta Falcons
6,2016,7,Sun,October 23,8:30PM ET,boxscore,T,OT,4-1-1,@,Arizona Cardinals
7,2016,8,Sun,October 30,1:03PM ET,boxscore,L,,4-2-1,@,New Orleans Saints
8,2016,9,Mon,November 7,8:30PM ET,boxscore,W,,5-2-1,,Buffalo Bills
9,2016,10,Sun,November 13,8:30PM ET,boxscore,W,,6-2-1,@,New England Patriots
10,2016,11,Sun,November 20,4:25PM ET,boxscore,W,,7-2-1,,Philadelphia Eagles
11,2016,12,Sun,November 27,4:05PM ET,boxscore,L,,7-3-1,@,Tampa Bay Buccaneers
12,2016,13,Sun,December 4,8:30PM ET,boxscore,W,,8-3-1,,Carolina Panthers
13,2016,14,Sun,December 11,4:25PM ET,boxscore,L,,8-4-1,@,Green Bay Packers
14,2016,15,Thu,December 15,8:25PM ET,boxscore,W,,9-4-1,,Los Angeles Rams
15,2016,16,Sat,December 24,4:25PM ET,boxscore,L,,9-5-1,,Arizona Cardinals
16,2016,17,Sun,January 1,4:25PM ET,boxscore,W,,10-5-1,@,San Francisco 49ers
17,2016,,,Playoffs,,,,,,,
18,2016,Wild Card,Sat,January 7,8:15PM ET,boxscore,W,,11-5-1,,Detroit Lions
19,2016,Division,Sat,January 14,4:35PM ET,boxscore,L,,11-6-1,@,Atlanta Falcons
0,2017,1,Sun,September 10,4:25PM ET,boxscore,L,,0-1,@,Green Bay Packers
1,2017,2,Sun,September 17,4:25PM ET,boxscore,W,,1-1,,San Francisco 49ers
2,2017,3,Sun,September 24,4:05PM ET,boxscore,L,,1-2,@,Tennessee Titans
3,2017,4,Sun,October 1,8:30PM ET,boxscore,W,,2-2,,Indianapolis Colts
4,2017,5,Sun,October 8,4:05PM ET,boxscore,W,,3-2,@,Los Angeles Rams
5,2017,6,,,,,,,,,Bye Week
6,2017,7,Sun,October 22,4:25PM ET,boxscore,W,,4-2,@,New York Giants
7,2017,8,Sun,October 29,4:05PM ET,boxscore,W,,5-2,,Houston Texans
8,2017,9,Sun,November 5,4:05PM ET,boxscore,L,,5-3,,Washington Redskins
9,2017,10,Thu,November 9,8:25PM ET,boxscore,W,,6-3,@,Arizona Cardinals
10,2017,11,Mon,November 20,8:30PM ET,boxscore,L,,6-4,,Atlanta Falcons
11,2017,12,Sun,November 26,4:05PM ET,boxscore,W,,7-4,@,San Francisco 49ers
12,2017,13,Sun,December 3,8:30PM ET,boxscore,W,,8-4,,Philadelphia Eagles
13,2017,14,Sun,December 10,4:25PM ET,boxscore,L,,8-5,@,Jacksonville Jaguars
14,2017,15,Sun,December 17,4:05PM ET,boxscore,L,,8-6,,Los Angeles Rams
15,2017,16,Sun,December 24,4:25PM ET,boxscore,W,,9-6,@,Dallas Cowboys
16,2017,17,Sun,December 31,4:25PM ET,boxscore,L,,9-7,,Arizona Cardinals
